date,open,high,low,close,volume
2015-05-05,107.096,107.54,106.139,106.83,2320114
2015-05-06,107.527,108.242,105.014,105.755,2350032
2015-05-07,105.493,106.955,105.126,106.339,1608061
2015-05-08,107.552,107.794,107.116,107.39,2011765
2015-05-11,107.371,107.583,106.258,106.42,1731005
2015-05-12,106.065,106.65,105.002,106.065,1927069
2015-05-13,106.494,107.427,106.19,107.141,1598627
2015-05-14,107.9,108.46,107.726,108.242,1586659
2015-05-15,108.155,108.466,107.34,107.751,1897276
2015-05-18,107.863,107.894,107.154,107.626,1281895
2015-05-19,107.57,108.055,106.924,107.888,1641236
2015-05-20,107.794,108.485,107.253,108.062,1496367
2015-05-21,107.788,108.298,107.614,107.8,1493310
2015-05-22,107.614,107.832,107.085,107.104,1853757
2015-05-26,107.036,107.042,105.182,105.804,2507194
2015-05-27,106.445,107.266,106.028,106.967,1798267
2015-05-28,106.625,106.868,106.134,106.787,1126292
2015-05-29,106.563,106.563,105.506,105.506,2661885
2015-06-01,105.854,106.37,105.12,105.835,1942096
2015-06-02,105.512,106.003,104.747,105.506,1672720
2015-06-03,106.034,106.693,105.493,105.674,1386236
2015-06-04,105.431,106.096,104.436,104.716,2003115
2015-06-05,104.635,105.046,103.982,104.106,2016905
2015-06-08,103.963,104.032,102.626,102.825,2445070
2015-06-09,102.825,103.248,101.6,103.037,2209067
2015-06-10,103.54,105.344,103.273,105.052,3044710
2015-06-11,105.263,105.997,104.815,104.965,2253367
2015-06-12,104.623,104.666,103.665,103.852,1993879
2015-06-15,103.852,103.852,102.147,103.397,2761870
2015-06-16,103.441,104.106,103.18,103.758,2114027
2015-06-17,103.858,104.386,103.298,103.963,1862409
2015-06-18,103.889,104.927,103.889,104.635,2166784
2015-06-19,104.243,104.741,103.715,103.852,4601708
2015-06-22,104.262,104.691,103.982,104.312,1519460
2015-06-23,104.716,105.705,104.212,104.865,2407926
2015-06-24,104.921,105.002,103.752,103.839,2308072
2015-06-25,104.355,104.56,103.285,103.285,1567012
2015-06-26,103.379,103.74,102.757,102.9,5819463
2015-06-29,101.942,102.831,101.302,101.351,2156244
2015-06-30,101.986,101.992,100.823,101.159,2340078
2015-07-01,101.973,102.993,101.743,102.297,2091064
2015-07-02,102.645,102.813,102.253,102.67,1855708
2015-07-06,101.886,102.757,101.693,102.446,2003441
2015-07-07,102.577,102.832,100.891,102.614,2309245
2015-07-08,101.992,102.577,101.171,101.47,1806011
2015-07-09,102.825,102.931,101.805,101.899,2731946
2015-07-10,103.024,104.106,102.937,103.826,2952206
2015-07-13,104.436,105.655,104.181,105.338,2751006
2015-07-14,105.369,105.437,104.629,104.859,1967987
2015-07-15,104.778,105.269,104.479,104.809,1299717
2015-07-16,105.394,106.401,105.201,106.345,2296234
2015-07-17,105.929,107.29,105.785,107.284,2833879
2015-07-20,107.459,108.074,107.054,107.726,4799331
2015-07-21,102.203,103.453,100.761,101.414,8946005
2015-07-22,101.202,101.414,99.3178,99.722,4671830
2015-07-23,99.6722,101.215,99.3986,100.58,3274794
2015-07-24,100.307,100.705,99.1375,99.3489,2457756
2015-07-27,98.8824,99.6163,98.6337,98.926,2410919
2015-07-28,99.4484,99.6226,98.5716,99.5355,1770038
2015-07-29,99.5043,100.437,99.125,100.182,2197681
2015-07-30,99.8153,100.375,99.3489,100.101,1297572
2015-07-31,100.375,100.785,99.8962,100.742,2328955
2015-08-03,100.562,100.655,98.1984,98.7021,3002558
2015-08-04,98.5093,98.7705,97.5578,98.0118,3422072
2015-08-05,98.9446,99.2182,97.9371,98.1983,2259089
2015-08-06,98.5307,98.7878,97.935,98.0228,1970878
2015-08-07,97.7531,97.9789,96.7812,97.2703,2489112
2015-08-10,98.3049,98.7439,97.8973,98.2924,3025974
2015-08-11,97.797,97.8158,97.1072,97.5148,2077331
2015-08-12,96.731,98.1481,96.5366,97.9224,2335235
2015-08-13,97.8598,97.8786,96.7687,97.239,1661683
2015-08-14,97.1951,97.9538,96.9317,97.6654,2116228
2015-08-17,97.3205,98.2548,97.0069,98.0165,1475535
2015-08-18,97.5149,98.1482,97.3518,97.8284,1323823
2015-08-19,97.2891,97.6152,96.1981,96.5304,2759020
2015-08-20,95.7779,96.5115,95.6274,95.7277,2631182
2015-08-21,95.0003,96.0601,93.2445,93.3386,4828874
2015-08-24,89.965,92.655,89.6703,89.965,6683525
2015-08-25,92.1409,92.2476,88.1779,88.3911,4639383
2015-08-26,90.3538,92.166,89.131,91.9904,4080939
2015-08-27,93.1192,93.4139,91.3383,93.1442,3264203
2015-08-28,92.6489,92.9311,92.2914,92.7931,2673687
2015-08-31,92.4168,93.0564,91.7145,92.7366,2684704
2015-09-01,90.868,90.9119,88.9492,89.4696,3457959
2015-09-02,90.7613,90.9745,89.7831,90.9557,2788927
2015-09-03,91.5828,92.8243,91.4072,92.0405,2363569
2015-09-04,90.6547,91.1752,89.8709,90.1092,2755542
2015-09-08,91.4637,92.3918,91.3383,92.3228,2579891
2015-09-09,93.2696,93.4577,90.8303,90.9557,2235208
2015-09-10,91.4574,92.2789,90.6172,91.6769,2270563
2015-09-11,91.495,92.492,91.3445,92.4105,2043224
2015-09-14,92.4106,92.4106,91.1815,91.332,2116424
2015-09-15,91.9277,92.7617,91.401,92.5109,1782173
2015-09-16,92.7053,93.3637,92.5172,93.0627,1836023
2015-09-17,92.8683,93.8591,92.3667,92.8934,2625607
2015-09-18,91.5829,91.7961,90.2849,90.6172,5231409
2015-09-21,91.1689,92.1659,90.8742,91.8524,2508853
2015-09-22,90.6861,90.9621,90.1531,90.567,2337729
2015-09-23,90.4291,90.6548,89.5136,90.0842,1754035
2015-09-24,89.4194,90.9682,89.0118,90.5544,2151580
2015-09-25,91.2693,91.7208,90.6297,91.1878,2278894
2015-09-28,90.5607,91.1627,89.3379,89.3693,2831760
2015-09-29,89.0369,89.457,88.5102,89.3379,3124425
2015-09-30,90.1029,91.3696,90.0841,90.9056,2588350
2015-10-01,91.1188,91.3445,88.7861,90.0402,2545519
2015-10-02,88.4475,90.6673,88.1402,90.661,2003410
2015-10-05,91.4387,93.9908,91.4387,93.4578,3366000
2015-10-06,93.4703,94.1538,93.1129,93.2947,1979602
2015-10-07,94.0848,94.5175,93.3449,94.1162,1955137
2015-10-08,93.8653,95.9534,93.6145,95.4894,3144693
2015-10-09,95.6023,96.035,94.8561,95.5584,2316083
2015-10-12,95.5647,95.6776,94.5928,94.7746,2117015
2015-10-13,94.5489,94.5489,93.5456,93.8214,2568347
2015-10-14,93.8089,94.4673,93.4452,94.066,2199266
2015-10-15,94.6304,94.8373,93.1693,94.1162,2280075
2015-10-16,94.3419,94.8122,93.5957,94.3043,2284993
2015-10-19,93.9657,94.0409,93.0439,93.5706,5217565
2015-10-20,89.3505,89.595,87.9584,88.1904,10511349
2015-10-21,87.9458,89.4571,87.3501,88.3659,4585203
2015-10-22,88.8801,90.9682,88.8049,90.3537,3662073
2015-10-23,90.6798,91.2316,90.1092,90.7237,3522496
2015-10-26,90.7677,90.9245,89.802,90.0842,2288733
2015-10-27,89.99,90.1907,86.1148,86.4471,9844216
2015-10-28,86.4847,88.5603,86.2214,88.3095,5582708
2015-10-29,88.0148,88.3033,87.1745,88.1339,2433686
2015-10-30,88.0649,88.623,87.7263,87.8392,2613143
2015-11-02,88.1026,88.1152,87.5194,88.0211,2507019
2015-11-03,87.8016,89.5448,87.7263,88.9679,2852812
2015-11-04,89.3881,89.4508,88.6043,88.8112,2306769
2015-11-05,88.7986,89.2814,87.557,87.7201,3343104
2015-11-06,87.7264,88.3277,87.2644,87.5049,3141420
2015-11-09,87.2961,87.3973,85.3719,85.6441,5346555
2015-11-10,85.6757,85.9162,84.8908,85.7453,2993052
2015-11-11,86.1378,86.2074,85.1314,85.4605,2095296
2015-11-12,85.2579,85.2579,84.1882,84.2072,3112618
2015-11-13,84.1502,84.1819,83.3274,83.3907,3054622
2015-11-16,83.416,84.8718,83.416,84.6313,2774570
2015-11-17,84.9541,85.3338,84.3781,84.7009,1863771
2015-11-18,85.3149,86.0238,84.9794,85.9668,2747028
2015-11-19,86.2137,87.1821,86.0871,86.5492,3147182
2015-11-20,86.9479,87.9289,86.8719,87.6631,3427098
2015-11-23,87.6821,87.8973,86.7897,87.6378,3401609
2015-11-24,87.1251,88.1948,86.9099,87.7264,2256109
2015-11-25,87.5809,87.6189,86.9543,87.3467,2143891
2015-11-27,87.3466,87.8594,86.8466,87.6378,937348
2015-11-30,87.7327,88.5492,87.6757,88.2454,3009469
2015-12-01,88.3467,89.4987,88.3467,89.4227,2777417
2015-12-02,89.2012,89.3785,88.2961,88.4227,2466448
2015-12-03,88.6759,89.0746,87.4669,87.929,3912525
2015-12-04,87.4036,89.2581,87.3403,88.8847,3026684
2015-12-07,88.7138,88.872,87.8594,88.3277,2171166
2015-12-08,87.5239,88.0175,87.0492,87.3783,2585486
2015-12-09,86.9543,88.5113,86.2264,86.4669,3055419
2015-12-10,86.7327,87.2518,85.9036,86.5745,2795427
2015-12-11,85.5933,85.7263,84.7579,85.1756,3531306
2015-12-14,85.6441,86.1694,84.8276,86.0365,3405518
2015-12-15,86.9669,87.9606,86.8909,87.2137,2806150
2015-12-16,88.0555,88.391,87.2137,88.1631,2876990
2015-12-17,88.2012,88.2961,86.277,86.5555,2707505
2015-12-18,86.3402,86.6884,84.9857,85.3845,6637902
2015-12-21,85.9732,85.9732,84.8275,85.7643,3719136
2015-12-22,86.0048,87.4669,85.8592,87.3023,2822900
2015-12-23,87.5365,88.1758,87.4162,87.6884,3419484
2015-12-24,87.6188,87.9037,87.4163,87.5049,989916
2015-12-28,87.1821,87.372,86.4225,87.0998,2081126
2015-12-29,87.5049,88.6505,87.4732,88.4733,2610975
2015-12-30,88.3467,88.891,88.1188,88.1948,1979169
2015-12-31,88.024,88.043,87.0746,87.1062,2292128
2016-01-04,85.8276,86.0618,84.9668,86.0491,3462188
2016-01-05,86.5618,86.6441,85.3529,85.9858,2598462
2016-01-06,85.0554,85.8149,84.5743,85.5554,2854084
2016-01-07,84.625,85.4605,83.8211,84.0933,4651517
2016-01-08,84.2959,84.701,83.1186,83.3148,3153205
2016-01-11,83.4287,84.7009,83.3971,84.3275,3293363
2016-01-12,84.5933,84.6757,82.9983,84.1187,3362416
2016-01-13,84.4984,84.9921,82.9793,83.0236,3111758
2016-01-14,83.5047,84.682,83.0553,84.125,3780113
2016-01-15,82.2894,82.8401,81.5679,82.3021,5964191
2016-01-19,82.3527,83.6123,81.0552,81.0868,6607117
2016-01-20,74.9789,78.4791,74.6877,77.1309,10697472
2016-01-21,76.7765,79.1817,76.3207,77.7955,5860312
2016-01-22,78.9095,78.9538,77.0739,77.536,6116398
2016-01-25,77.2829,78.631,76.9917,77.2702,3605594
2016-01-26,77.3778,78.2386,77.3715,77.593,3057274
2016-01-27,77.6815,78.0865,76.365,76.5612,3327788
2016-01-28,76.7511,77.7448,76.5928,77.3587,2610179
2016-01-29,78.0297,78.9854,77.8271,78.9854,5460755
2016-02-01,78.7385,79.3019,78.3018,79.0107,2366805
2016-02-02,78.2766,78.574,77.6246,77.8145,2176398
2016-02-03,78.479,79.4032,77.403,78.9411,4120344
2016-02-04,79.169,81.3335,79.1183,80.7956,3486749
2016-02-05,80.5235,81.4223,79.6564,81.378,4752087
2016-02-08,80.5659,81.5314,79.3702,81.1925,4925225
2016-02-09,80.6427,81.1606,79.1401,79.3319,3984327
2016-02-10,79.9265,80.1119,76.6271,76.8509,4326694
2016-02-11,75.9494,76.512,74.7473,75.3547,4887505
2016-02-12,76.2562,77.4008,75.6744,77.3944,3301653
2016-02-16,77.8996,78.7053,77.5863,78.4815,2716368
2016-02-17,79.1017,80.9304,78.8076,80.6299,3224407
2016-02-18,83.1235,85.6812,82.9637,84.6901,6655877
2016-02-19,84.6325,85.4574,83.6606,85.0929,3427927
2016-02-22,85.093,85.8795,84.6646,85.5342,2981222
2016-02-23,85.1313,85.3039,84.4087,84.6581,2300556
2016-02-24,84.1146,85.3551,82.9189,84.9139,2757298
2016-02-25,85.2272,86.0074,83.6862,86.0009,2914939
2016-02-26,86.0074,86.2695,84.3704,84.4216,2933601
2016-02-29,84.4024,85.272,83.6991,83.7822,2961559
2016-03-01,84.5559,86.0904,84.4216,85.9178,2533844
2016-03-02,85.4893,87.8807,85.1824,87.1518,3489391
2016-03-03,87.7401,88.2133,87.0048,88.111,3448730
2016-03-04,87.9448,89.1468,87.6123,88.111,2654165
2016-03-07,87.7785,89.8438,87.5163,89.6136,3458494
2016-03-08,89.3322,89.7414,87.868,88.923,3731440
2016-03-09,89.0765,90.9053,89.0254,89.7799,2947179
2016-03-10,90.3106,90.4576,88.2964,89.6392,2689079
2016-03-11,90.6239,91.3848,89.8438,91.0267,2957477
2016-03-14,90.803,91.5575,90.1827,91.2953,2707940
2016-03-15,90.6302,91.6469,90.5023,91.4103,2479667
2016-03-16,91.193,92.638,90.8669,92.5805,2823713
2016-03-17,92.574,94.1981,92.363,94.0191,3893630
2016-03-18,94.2493,94.3197,93.0408,94.0511,8085892
2016-03-21,94.1854,95.087,93.8145,95.0358,2489099
2016-03-22,94.6713,95.4514,94.5307,94.6969,2730076
2016-03-23,94.633,94.6522,92.7979,92.9705,3186416
2016-03-24,92.7019,94.7736,92.3886,94.601,3373887
2016-03-28,94.4731,95.0486,94.1406,94.8887,2183780
2016-03-29,94.3708,95.7583,94.3133,95.4834,2099107
2016-03-30,95.8799,96.174,94.8377,94.8952,2227991
2016-03-31,95.7776,97.894,95.5026,96.839,4535037
2016-04-01,96.2379,97.8044,96.0716,97.5231,2625472
2016-04-04,97.408,98.1625,97.1331,97.2354,2629285
2016-04-05,96.8262,96.9349,95.688,95.9118,2231869
2016-04-06,95.8479,96.0077,94.5116,95.9246,2805454
2016-04-07,95.3171,95.656,94.6329,94.7928,2449905
2016-04-08,95.3108,95.9054,94.7097,95.4962,2202976
2016-04-11,96.078,97.1586,95.413,95.4322,2572367
2016-04-12,95.6624,95.9821,95.0038,95.6752,2404960
2016-04-13,96.3913,96.6982,95.6752,96.6982,2119104
2016-04-14,96.8709,97.6766,96.1548,96.6535,2124522
2016-04-15,96.5768,97.2546,96.5256,97.0116,2446295
2016-04-18,97.0116,97.9195,96.8645,97.5295,4402005
2016-04-19,93.6546,93.9616,91.1865,92.0753,8821932
2016-04-20,92.2287,94.1215,92.0753,93.4245,4517445
2016-04-21,93.7251,95.9885,93.6483,95.4642,4024787
2016-04-22,95.5537,96.5512,94.3133,94.9527,3472473
2016-04-25,94.7353,95.2084,94.0639,95.1509,1905415
2016-04-26,95.0486,95.7775,94.569,95.3235,1992964
2016-04-27,95.4962,96.4105,95.2532,96.2123,2080848
2016-04-28,95.7519,96.0269,93.821,94.0383,2535849
2016-04-29,93.6675,94.211,92.1969,93.3158,2826321
2016-05-02,93.7122,93.9936,92.3503,92.8874,2342493
2016-05-03,92.491,92.6508,91.372,92.1585,2397271
2016-05-04,91.6662,92.7148,91.6341,92.2352,1723629
2016-05-05,93.3223,94.1854,93.0025,93.6547,4348166
2016-05-06,93.5191,95.5269,93.2674,95.0879,3306034
2016-05-09,95.3525,95.6753,94.9071,95.1201,2905321
2016-05-10,95.7012,96.8633,95.3784,96.8181,2696190
2016-05-11,96.6501,97.541,96.0239,96.1595,2088639
2016-05-12,96.3274,96.4436,94.9717,96.0885,2194119
2016-05-13,96.0563,96.747,95.1718,95.3655,1619321
2016-05-16,95.3203,96.831,95.1847,96.4888,2072501
2016-05-17,96.3274,96.5146,95.0878,95.5462,2357130
